parameter,value
"Total consumption",6732.043
"Sum of all exports",1126.386
"Sum of all respiratory flows",2416.952
"Sum of all flows into detritus",3825.24
"Total system throughput",14100.62
"Sum of all production",5200.246
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000655054
"Calculated total net primary production",3486.155
"Total primary production/total respiration",1.442376
"Net system production",1069.202
"Total primary production/total biomass",8.11436
"Total biomass/total throughput",0.03046871
"Total biomass (excluding detritus)",429.6278
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004402
"Total market value",2.14144
"Total shadow value",0.0733861
"Total value",2.214826
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016748
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036985
