parameter,value
"Total consumption",6725.895
"Sum of all exports",1124.451
"Sum of all respiratory flows",2428.471
"Sum of all flows into detritus",3850.594
"Total system throughput",14129.41
"Sum of all production",5194.682
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006529732
"Calculated total net primary production",3497.263
"Total primary production/total respiration",1.440109
"Net system production",1068.792
"Total primary production/total biomass",8.148086
"Total biomass/total throughput",0.03037727
"Total biomass (excluding detritus)",429.2129
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001619
"Total market value",2.14144
"Total shadow value",0.06966624
"Total value",2.211106
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979547
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03175
