parameter,value
"Total consumption",6734.5
"Sum of all exports",1075.142
"Sum of all respiratory flows",2431.999
"Sum of all flows into detritus",3832.296
"Total system throughput",14073.94
"Sum of all production",5149.998
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006616824
"Calculated total net primary production",3451.232
"Total primary production/total respiration",1.419093
"Net system production",1019.233
"Total primary production/total biomass",8.015988
"Total biomass/total throughput",0.03059155
"Total biomass (excluding detritus)",430.5435
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002979
"Total market value",2.14144
"Total shadow value",0.0697424
"Total value",2.211182
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.498031
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031756
