parameter,value
"Total consumption",6702.819
"Sum of all exports",1094.606
"Sum of all respiratory flows",2397.392
"Sum of all flows into detritus",3799.462
"Total system throughput",13994.28
"Sum of all production",5152.653
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006642099
"Calculated total net primary production",3438.099
"Total primary production/total respiration",1.4341
"Net system production",1040.707
"Total primary production/total biomass",8.005099
"Total biomass/total throughput",0.0306903
"Total biomass (excluding detritus)",429.4886
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200314
"Total market value",2.14144
"Total shadow value",0.07132246
"Total value",2.212762
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499611
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033732
