parameter,value
"Total consumption",6683.337
"Sum of all exports",1050.697
"Sum of all respiratory flows",2400.468
"Sum of all flows into detritus",3743.234
"Total system throughput",13877.74
"Sum of all production",5097.483
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006722781
"Calculated total net primary production",3396.837
"Total primary production/total respiration",1.415073
"Net system production",996.3691
"Total primary production/total biomass",7.948742
"Total biomass/total throughput",0.0307934
"Total biomass (excluding detritus)",427.3427
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999452
"Total market value",2.14144
"Total shadow value",0.07132549
"Total value",2.212765
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996141
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03593
