parameter,value
"Total consumption",6790.801
"Sum of all exports",1203.879
"Sum of all respiratory flows",2416.708
"Sum of all flows into detritus",3923.27
"Total system throughput",14334.66
"Sum of all production",5313.087
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006402623
"Calculated total net primary production",3566.694
"Total primary production/total respiration",1.475848
"Net system production",1149.985
"Total primary production/total biomass",8.285359
"Total biomass/total throughput",0.03003081
"Total biomass (excluding detritus)",430.4815
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003669
"Total market value",2.14144
"Total shadow value",0.06856467
"Total value",2.210005
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4968532
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030365
