parameter,value
"Total consumption",6871.407
"Sum of all exports",1134.926
"Sum of all respiratory flows",2448.368
"Sum of all flows into detritus",3940.978
"Total system throughput",14395.68
"Sum of all production",5292.611
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006476186
"Calculated total net primary production",3526.18
"Total primary production/total respiration",1.440216
"Net system production",1077.811
"Total primary production/total biomass",8.141208
"Total biomass/total throughput",0.03008732
"Total biomass (excluding detritus)",433.1273
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003818
"Total market value",2.14144
"Total shadow value",0.07296278
"Total value",2.214403
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012513
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031409
