parameter,value
"Total consumption",6878.652
"Sum of all exports",1177.243
"Sum of all respiratory flows",2469.994
"Sum of all flows into detritus",3969.995
"Total system throughput",14495.88
"Sum of all production",5341.759
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006357111
"Calculated total net primary production",3592.228
"Total primary production/total respiration",1.454347
"Net system production",1122.234
"Total primary production/total biomass",8.29769
"Total biomass/total throughput",0.02986496
"Total biomass (excluding detritus)",432.9191
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999442
"Total market value",2.14144
"Total shadow value",0.07039198
"Total value",2.211832
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986805
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031142
