parameter,value
"Total consumption",6823.632
"Sum of all exports",1158.196
"Sum of all respiratory flows",2433.926
"Sum of all flows into detritus",3945.472
"Total system throughput",14361.23
"Sum of all production",5287.056
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006455487
"Calculated total net primary production",3537.486
"Total primary production/total respiration",1.453407
"Net system production",1103.56
"Total primary production/total biomass",8.170759
"Total biomass/total throughput",0.03014677
"Total biomass (excluding detritus)",432.9445
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002418
"Total market value",2.14144
"Total shadow value",0.06984773
"Total value",2.211288
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981364
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.022659
