parameter,value
"Total consumption",6729.808
"Sum of all exports",1074.192
"Sum of all respiratory flows",2415.729
"Sum of all flows into detritus",3792.757
"Total system throughput",14012.48
"Sum of all production",5146.817
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006651378
"Calculated total net primary production",3433.303
"Total primary production/total respiration",1.421229
"Net system production",1017.574
"Total primary production/total biomass",7.989205
"Total biomass/total throughput",0.03066856
"Total biomass (excluding detritus)",429.7427
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004875
"Total market value",2.14144
"Total shadow value",0.07023355
"Total value",2.211673
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4985222
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036489
