parameter,value
"Total consumption",6823.581
"Sum of all exports",1173.342
"Sum of all respiratory flows",2435.125
"Sum of all flows into detritus",3894.096
"Total system throughput",14326.14
"Sum of all production",5302.55
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006426867
"Calculated total net primary production",3553.239
"Total primary production/total respiration",1.459161
"Net system production",1118.114
"Total primary production/total biomass",8.226688
"Total biomass/total throughput",0.0301488
"Total biomass (excluding detritus)",431.9161
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002484
"Total market value",2.14144
"Total shadow value",0.06987648
"Total value",2.211316
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.498165
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03302
