parameter,value
"Total consumption",6912.348
"Sum of all exports",1128.679
"Sum of all respiratory flows",2485.792
"Sum of all flows into detritus",3971.501
"Total system throughput",14498.32
"Sum of all production",5312.614
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006415437
"Calculated total net primary production",3559.57
"Total primary production/total respiration",1.431966
"Net system production",1073.777
"Total primary production/total biomass",8.222606
"Total biomass/total throughput",0.02985866
"Total biomass (excluding detritus)",432.9005
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000767
"Total market value",2.14144
"Total shadow value",0.07198028
"Total value",2.21342
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002688
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.0318
