parameter,value
"Total consumption",6745.604
"Sum of all exports",1179.894
"Sum of all respiratory flows",2409.679
"Sum of all flows into detritus",3907.112
"Total system throughput",14242.29
"Sum of all production",5262.276
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006461853
"Calculated total net primary production",3534.001
"Total primary production/total respiration",1.466586
"Net system production",1124.322
"Total primary production/total biomass",8.233917
"Total biomass/total throughput",0.03013564
"Total biomass (excluding detritus)",429.2004
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001099
"Total market value",2.14144
"Total shadow value",0.07347638
"Total value",2.214916
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5017649
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034267
