parameter,value
"Total consumption",6743.184
"Sum of all exports",1065.215
"Sum of all respiratory flows",2422.25
"Sum of all flows into detritus",3834.035
"Total system throughput",14064.68
"Sum of all production",5145.704
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006652311
"Calculated total net primary production",3432.821
"Total primary production/total respiration",1.417203
"Net system production",1010.571
"Total primary production/total biomass",7.995808
"Total biomass/total throughput",0.03052522
"Total biomass (excluding detritus)",429.3276
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002349
"Total market value",2.14144
"Total shadow value",0.06834647
"Total value",2.209786
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4966351
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02757
