parameter,value
"Total consumption",6826.779
"Sum of all exports",1100.293
"Sum of all respiratory flows",2435.933
"Sum of all flows into detritus",3851.732
"Total system throughput",14214.74
"Sum of all production",5231.727
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006559659
"Calculated total net primary production",3481.308
"Total primary production/total respiration",1.429148
"Net system production",1045.375
"Total primary production/total biomass",8.027627
"Total biomass/total throughput",0.03050819
"Total biomass (excluding detritus)",433.6659
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200169
"Total market value",2.14144
"Total shadow value",0.07219175
"Total value",2.213632
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5004803
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027754
