GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009762803,0.05068953,6.007889,0,0.008437161,0,0,0,0,0.05068953,1
2,Salmon_sharks,0.2253582,0.09856953,6.140875,0.5164804,0.01605138,0.05090923,0,0,0,0.04766029,0.4835196
3,Resident_orca,0.0150271,0.04907394,8.41088,0,0.005834578,0,0,0,0,0.04907394,1
4,Sleeper_sharks,0.1117714,0.07130206,3.7029,0,0.01925573,0,0,0,0,0.07130206,1
5,Halibut,0.6799883,0.3213851,1.715939,0.2535369,0.187294,0.02521297,0.05627001,0,0,0.2399022,0.9215491
6,Pinnipeds,0.07160578,0.05979189,25.86453,0.7972032,0.002311733,0.009214019,0.03845226,0,0,0.0121256,0.8458985
7,Porpoise,0.01456952,0.1540158,29.57752,0.8983868,0.005207191,0.0002764621,0.1380893,0,0,0.01565004,0.9982049
8,Lingcod,0.0770697,0.5956916,3.179312,0.8060765,0.187365,0.02061057,0.4595624,0,0,0.1155186,0.9654006
9,Arrowtooth_L,3.993042,0.2602527,1.449428,0.1347054,0.1795554,0.000365609,0.03469183,0,0,0.2251952,0.9985952
10,Salmon_L,3.45132,1.53031,11.97077,0.6865317,0.1278373,0.5387852,0.5118212,0,0,0.4797037,0.6479242
11,Pacific_cod,0.3023421,1.178574,3.992418,0.6930037,0.2952031,0.2194609,0.5972953,0,0,0.361818,0.8137912
12,Sablefish,0.4787984,0.5664957,6.362896,0.8821768,0.08903111,0.03907763,0.4606717,0,0,0.06674632,0.9310187
13,Arrowtooth_S,0.2532033,0.2153504,3.264835,0.9069288,0.06596056,0,0.1953074,0,0,0.02004292,1
14,Spiny_dogfish,0.1651755,0.08804512,3.041908,0.7720863,0.02894404,0,0.06797843,0,0,0.02006669,1
15,Avian_raptors,0.003350138,0.0502121,36.6778,0,0.001369005,0,0,0,0,0.0502121,1
16,Octopods,0.1645466,3.03668,11.55788,0.9379323,0.2627366,0.001404389,2.846796,0,0,0.1884797,0.9995375
17,Seabirds,0.02222406,0.1688667,149.3593,0.6851844,0.001130607,0,0.1157048,0,0,0.05316188,1
18,Deep_demersals,1.02429,1.017062,3.118917,0.9036697,0.3260945,0.002637802,0.9164503,0,0,0.09797385,0.9974064
19,Pollock_L,4.998796,1.261369,2.688229,0.5823717,0.4692194,0.03259665,0.7019891,0,0,0.5267836,0.9741578
20,Rockfish,1.042213,0.303183,3.477814,0.7695281,0.08717629,0.01315378,0.220154,0,0,0.06987516,0.9566144
21,Baleen_whales,0.1572577,0.04889175,10.68556,0.07266058,0.004575496,0,0.003552503,0,0,0.04533925,1
22,Salmon_fry_S,0.8206798,2.261471,27.46314,0.1596809,0.08234569,0,0.3611138,0,0,1.900357,1
23,Nshore_demersal,4.245433,1.007209,4.128335,0.776415,0.2439746,3.785012E-05,0.7819743,0,0,0.2251968,0.9999624
24,Squids,3.050133,2.974922,15.23024,0.9173678,0.19533,3.842603E-05,2.729059,0,0,0.2458243,0.9999871
25,Eulachon,1.120858,2.528882,17.8765,0.6646676,0.1414641,0.0001165655,1.680749,0,0,0.848016,0.9999539
26,Sea_otters,0.04144586,0.1307206,116.9476,0.005188507,0.001117771,4.283274E-06,0.0006739615,0,0,0.1300424,0.9999672
27,Deep_epibenthos,28.96993,3.109595,10.22646,0.9290982,0.3040735,0.0001613674,2.888958,0,0,0.2204757,0.9999481
28,Capelin,0.4390238,3.564199,17.68417,0.5619822,0.2015474,0.0001462128,2.00287,0,0,1.561183,0.999959
29,Herring_L,3.015712,0.3946717,3.439432,0.9579791,0.1147491,0.0003497387,0.3777375,0,0,0.01658447,0.9991139
30,Pollock_S,0.5841146,2.322162,7.632563,0.4195757,0.304244,0,0.9743226,0,0,1.347839,1
31,Invert_eat_seaduck,0.0002740392,0.2026929,145.2822,0.6955352,0.001395166,0,0.14098,0,0,0.06171283,1
32,Oystercatchers,0.0003115867,0.3043256,155.1528,0.9071041,0.001961457,0,0.2760549,0,0,0.02827059,1
33,Sandlance,0.598451,1.971834,18.10129,0.7571149,0.1089334,0,1.492905,0,0,0.4789291,1
34,Sunflower_stars,0.3591023,2.009905,9.869114,0.974477,0.203656,0,1.958606,0,0,0.05129881,1
35,Pisaster_Evasterias,0.9829102,1.97209,9.88064,0.607354,0.1995914,0,1.197757,0,0,0.7743334,1
36,Leather_stars,0.9911095,2.030486,9.94743,0.5368364,0.2041216,0,1.090038,0,0,0.9404471,1
37,Cucumbers,0.5089517,0.6036336,3.333094,0.7523851,0.1811031,1.475582E-07,0.4541649,0,0,0.1494687,0.9999998
38,Urchins,0.608402,0.5994213,2.729391,0.7430531,0.2196172,3.188681E-07,0.4454015,0,0,0.1540195,0.9999995
39,Helmet_crab,0.8040659,2.00966,10.17374,0.8969958,0.197534,0,1.802656,0,0,0.2070034,1
40,Herring_S,2.041262,1.471765,8.038589,0.7583054,0.1830875,0,1.116048,0,0,0.3557176,1
41,Jellies,6.403059,4.905727,29.54402,0.05849012,0.1660481,0,0.2869366,0,0,4.618791,1
42,Deep_infauna_S,50.12033,3.013812,22.69751,0.8925572,0.1327816,0,2.69,0,0,0.3238124,1
43,Zoopl_near_onmiv,0.1071312,7.976782,26.90253,0.6889415,0.2965067,0,5.495536,0,0,2.481246,1
44,Zoop_omniv,24.99218,12.12562,21.78771,0.8027767,0.5565348,0,9.734164,0,0,2.391455,1
45,Shallow_infauna_S,49.61934,3.763051,23.10552,0.9227618,0.1628637,0,3.472399,0,0,0.2906513,1
46,Meiofauna,4.861285,4.409922,22.52081,0.9282489,0.1958154,0,4.093505,0,0,0.3164168,1
47,Deep_infauna_L,27.80942,0.6041935,23.09379,0.9407855,0.02616259,0,0.5684164,0,0,0.03577704,1
48,Snail_crust_S,18.70418,2.305015,10.15283,0.9902617,0.2270318,8.630585E-07,2.282567,0,0,0.02244685,0.9999996
49,Mussels,8.765736,2.253037,10.10386,0.3783809,0.2229878,4.5645E-07,0.8525058,0,0,1.400531,0.9999998
50,Barnacles,8.613137,2.329877,10.02303,0.3312843,0.2324523,0,0.7718517,0,0,1.558025,1
51,Shallow_infauna_clams,12.802,0.5977532,23.17857,0.5912496,0.02578904,3.873818E-05,0.3533826,0,0,0.2443319,0.9999352
52,Zoopl_near_herb,2.519295,27.16955,88.23856,0.7778577,0.3079102,0,21.13405,0,0,6.035506,1
53,Zoopl_herb,30.15521,24.38233,49.20264,0.6664495,0.4955492,0,16.24959,0,0,8.132739,1
54,Phyto_near,5.616661,186.8363,0,0.9506518,-9999,0,177.6163,0,0,9.220033,1
55,Phyto_off,10.48401,190.3017,0,0.9571835,-9999,0,182.1537,0,0,8.148045,1
56,Fucus,25.46243,4.044299,0,0.01908594,-9999,0,0.07718924,0,0,3.967109,1
57,Subtidal_kelps,24.14762,4.043095,0,0.1925405,-9999,0,0.7784596,0,0,3.264636,1
58,Macroalgae_other,25.07191,4.075974,0,0.2706767,-9999,0,1.103271,0,0,2.972703,1
59,Eelgrass,25.0615,4.02831,0,0,-9999,0,0,0,0,4.02831,1
60,Nekton_falls,2,-9999,-9999,0.7297236,-9999,0,0,0,-1.25,-2702.494,1
61,Inshore_detritus,19.52,-9999,-9999,0.717738,-9999,0,0,0,-0.2459016,-2822.338,1
62,Offshore_detritus,114.48,-9999,-9999,0.5835226,-9999,0,0,0,-0.04192872,-4164.358,1
