parameter,value
"Total consumption",6717.745
"Sum of all exports",1126.353
"Sum of all respiratory flows",2377.449
"Sum of all flows into detritus",3850.02
"Total system throughput",14071.57
"Sum of all production",5192.769
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006622493
"Calculated total net primary production",3448.278
"Total primary production/total respiration",1.45041
"Net system production",1070.828
"Total primary production/total biomass",8.061404
"Total biomass/total throughput",0.03039829
"Total biomass (excluding detritus)",427.7515
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005169
"Total market value",2.14144
"Total shadow value",0.07100795
"Total value",2.212448
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992965
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039608
