parameter,value
"Total consumption",6713.591
"Sum of all exports",1100.595
"Sum of all respiratory flows",2385.57
"Sum of all flows into detritus",3803.263
"Total system throughput",14003.02
"Sum of all production",5167.258
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006652222
"Calculated total net primary production",3432.867
"Total primary production/total respiration",1.439013
"Net system production",1047.297
"Total primary production/total biomass",7.972062
"Total biomass/total throughput",0.03075138
"Total biomass (excluding detritus)",430.6122
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003179
"Total market value",2.14144
"Total shadow value",0.07236018
"Total value",2.2138
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006489
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02942
