parameter,value
"Total consumption",6775.243
"Sum of all exports",1188.514
"Sum of all respiratory flows",2409.187
"Sum of all flows into detritus",3925.644
"Total system throughput",14298.59
"Sum of all production",5288.576
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006445878
"Calculated total net primary production",3542.759
"Total primary production/total respiration",1.47052
"Net system production",1133.572
"Total primary production/total biomass",8.239261
"Total biomass/total throughput",0.03007186
"Total biomass (excluding detritus)",429.9851
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001728
"Total market value",2.14144
"Total shadow value",0.06969516
"Total value",2.211135
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979838
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031667
