parameter,value
"Total consumption",6740.598
"Sum of all exports",1194.529
"Sum of all respiratory flows",2402.609
"Sum of all flows into detritus",3928.226
"Total system throughput",14265.96
"Sum of all production",5274.158
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006447625
"Calculated total net primary production",3541.799
"Total primary production/total respiration",1.474147
"Net system production",1139.19
"Total primary production/total biomass",8.278711
"Total biomass/total throughput",0.02998887
"Total biomass (excluding detritus)",427.8201
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000631
"Total market value",2.14144
"Total shadow value",0.07227366
"Total value",2.213714
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005623
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03793
