parameter,value
"Total consumption",6698.893
"Sum of all exports",1086.257
"Sum of all respiratory flows",2386.42
"Sum of all flows into detritus",3768.343
"Total system throughput",13939.91
"Sum of all production",5140.471
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006679933
"Calculated total net primary production",3418.626
"Total primary production/total respiration",1.432533
"Net system production",1032.206
"Total primary production/total biomass",7.970011
"Total biomass/total throughput",0.03077037
"Total biomass (excluding detritus)",428.9362
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003714
"Total market value",2.14144
"Total shadow value",0.07290053
"Total value",2.21434
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5011891
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03136
