parameter,value
"Total consumption",6752.668
"Sum of all exports",1090.339
"Sum of all respiratory flows",2426.809
"Sum of all flows into detritus",3831.454
"Total system throughput",14101.27
"Sum of all production",5178.759
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006594517
"Calculated total net primary production",3462.906
"Total primary production/total respiration",1.426938
"Net system production",1036.098
"Total primary production/total biomass",8.007724
"Total biomass/total throughput",0.03066715
"Total biomass (excluding detritus)",432.4457
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002363
"Total market value",2.14144
"Total shadow value",0.07165034
"Total value",2.21309
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999388
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032778
