parameter,value
"Total consumption",6877.905
"Sum of all exports",1291.165
"Sum of all respiratory flows",2453.922
"Sum of all flows into detritus",4065.179
"Total system throughput",14688.17
"Sum of all production",5453.048
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006189442
"Calculated total net primary production",3689.54
"Total primary production/total respiration",1.503528
"Net system production",1235.618
"Total primary production/total biomass",8.545975
"Total biomass/total throughput",0.02939293
"Total biomass (excluding detritus)",431.7284
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998778
"Total market value",2.14144
"Total shadow value",0.06882564
"Total value",2.210266
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4971143
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033717
