parameter,value
"Total consumption",6844.453
"Sum of all exports",1154.058
"Sum of all respiratory flows",2461.27
"Sum of all flows into detritus",3897.655
"Total system throughput",14357.44
"Sum of all production",5296.777
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006414845
"Calculated total net primary production",3559.898
"Total primary production/total respiration",1.446366
"Net system production",1098.628
"Total primary production/total biomass",8.207082
"Total biomass/total throughput",0.03021147
"Total biomass (excluding detritus)",433.7593
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002911
"Total market value",2.14144
"Total shadow value",0.07753286
"Total value",2.218973
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5058213
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034161
