parameter,value
"Total consumption",6804.464
"Sum of all exports",1082.793
"Sum of all respiratory flows",2442.601
"Sum of all flows into detritus",3875.462
"Total system throughput",14205.32
"Sum of all production",5201.267
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006580682
"Calculated total net primary production",3470.186
"Total primary production/total respiration",1.420693
"Net system production",1027.585
"Total primary production/total biomass",8.060761
"Total biomass/total throughput",0.03030579
"Total biomass (excluding detritus)",430.5035
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005253
"Total market value",2.14144
"Total shadow value",0.07089286
"Total value",2.212333
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991814
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027036
