parameter,value
"Total consumption",6707.124
"Sum of all exports",1114.178
"Sum of all respiratory flows",2398.583
"Sum of all flows into detritus",3852.74
"Total system throughput",14072.63
"Sum of all production",5174.07
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006604368
"Calculated total net primary production",3457.741
"Total primary production/total respiration",1.441576
"Net system production",1059.158
"Total primary production/total biomass",8.048161
"Total biomass/total throughput",0.03052958
"Total biomass (excluding detritus)",429.6313
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003531
"Total market value",2.14144
"Total shadow value",0.07396398
"Total value",2.215404
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5022525
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035331
