parameter,value
"Total consumption",6771.305
"Sum of all exports",1061.536
"Sum of all respiratory flows",2423.281
"Sum of all flows into detritus",3836.177
"Total system throughput",14092.3
"Sum of all production",5158.374
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006657547
"Calculated total net primary production",3430.122
"Total primary production/total respiration",1.415486
"Net system production",1006.841
"Total primary production/total biomass",7.989426
"Total biomass/total throughput",0.03046576
"Total biomass (excluding detritus)",429.3327
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004092
"Total market value",2.14144
"Total shadow value",0.0709692
"Total value",2.212409
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992577
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.024892
