parameter,value
"Total consumption",6698.996
"Sum of all exports",1085.611
"Sum of all respiratory flows",2399.154
"Sum of all flows into detritus",3808.14
"Total system throughput",13991.9
"Sum of all production",5139.929
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006660368
"Calculated total net primary production",3428.668
"Total primary production/total respiration",1.429116
"Net system production",1029.515
"Total primary production/total biomass",7.963495
"Total biomass/total throughput",0.03077125
"Total biomass (excluding detritus)",430.5482
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003972
"Total market value",2.14144
"Total shadow value",0.07199352
"Total value",2.213434
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002822
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031372
