parameter,value
"Total consumption",6772.471
"Sum of all exports",1146.116
"Sum of all respiratory flows",2430.208
"Sum of all flows into detritus",3907.627
"Total system throughput",14256.42
"Sum of all production",5244.936
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006485487
"Calculated total net primary production",3521.122
"Total primary production/total respiration",1.448898
"Net system production",1090.915
"Total primary production/total biomass",8.184137
"Total biomass/total throughput",0.0301785
"Total biomass (excluding detritus)",430.2375
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200091
"Total market value",2.14144
"Total shadow value",0.07250261
"Total value",2.213943
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007912
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035161
