parameter,value
"Total consumption",6850.198
"Sum of all exports",1163.683
"Sum of all respiratory flows",2464.741
"Sum of all flows into detritus",3941.342
"Total system throughput",14419.96
"Sum of all production",5307.7
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006390713
"Calculated total net primary production",3573.34
"Total primary production/total respiration",1.449783
"Net system production",1108.599
"Total primary production/total biomass",8.294106
"Total biomass/total throughput",0.02987725
"Total biomass (excluding detritus)",430.8288
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004162
"Total market value",2.14144
"Total shadow value",0.07052795
"Total value",2.211968
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988166
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027086
