parameter,value
"Total consumption",6796.587
"Sum of all exports",1133.571
"Sum of all respiratory flows",2461.363
"Sum of all flows into detritus",3889.948
"Total system throughput",14281.47
"Sum of all production",5245.869
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006450716
"Calculated total net primary production",3540.102
"Total primary production/total respiration",1.438269
"Net system production",1078.74
"Total primary production/total biomass",8.215151
"Total biomass/total throughput",0.03017362
"Total biomass (excluding detritus)",430.9236
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001036
"Total market value",2.14144
"Total shadow value",0.07563388
"Total value",2.217074
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5039226
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036703
