parameter,value
"Total consumption",6694.637
"Sum of all exports",1202.958
"Sum of all respiratory flows",2353.128
"Sum of all flows into detritus",3904.009
"Total system throughput",14154.73
"Sum of all production",5255.576
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006522281
"Calculated total net primary production",3501.259
"Total primary production/total respiration",1.487917
"Net system production",1148.131
"Total primary production/total biomass",8.167491
"Total biomass/total throughput",0.03028544
"Total biomass (excluding detritus)",428.6823
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002284
"Total market value",2.14144
"Total shadow value",0.07009678
"Total value",2.211537
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983853
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030755
