GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001019717,0.05045969,5.993256,0,0.008419412,0,0,0,0,0.05045969,1
2,Salmon_sharks,0.2277371,0.1004893,6.122849,0.5013216,0.01641217,0.05037743,0,0,0,0.05011182,0.4986784
3,Resident_orca,0.01487008,0.05003729,8.779485,0,0.005699343,0,0,0,0,0.05003729,1
4,Sleeper_sharks,0.1082975,0.07049219,3.740635,0,0.01884498,0,0,0,0,0.07049219,1
5,Halibut,0.6914548,0.3199987,1.716746,0.239921,0.1863984,0.02479486,0.05197954,0,0,0.2432243,0.9225157
6,Pinnipeds,0.07441708,0.0582242,26.20123,0.8143968,0.002222194,0.008865936,0.03855167,0,0,0.0108066,0.8477277
7,Porpoise,0.01477036,0.1513242,29.00744,0.9396914,0.005216739,0.0002727029,0.1419254,0,0,0.009126158,0.9981979
8,Lingcod,0.07745096,0.5749759,3.436836,0.8380017,0.167298,0.02050911,0.4613217,0,0,0.0931451,0.9643305
9,Arrowtooth_L,3.838621,0.2528614,1.453661,0.1414019,0.173948,0.0003803168,0.03537477,0,0,0.2171063,0.9984959
10,Salmon_L,3.46804,1.563024,11.58024,0.6747295,0.1349734,0.5361877,0.5184306,0,0,0.5084056,0.6569549
11,Pacific_cod,0.2983917,1.23553,4.058624,0.6718042,0.3044208,0.2223664,0.6076677,0,0,0.4054956,0.8200234
12,Sablefish,0.4780525,0.5710248,6.543174,0.8831238,0.0872703,0.0391386,0.465147,0,0,0.06673924,0.931459
13,Arrowtooth_S,0.2324888,0.2152295,3.29352,0.9502935,0.06534937,0,0.2045312,0,0,0.01069831,1
14,Spiny_dogfish,0.160859,0.08968209,3.063637,0.7842406,0.02927308,0,0.07033234,0,0,0.01934975,1
15,Avian_raptors,0.003286781,0.04983994,36.4268,0,0.001368222,0,0,0,0,0.04983994,1
16,Octopods,0.1449665,3.160722,11.76799,0.9801668,0.2685864,0.001594075,3.096441,0,0,0.06268726,0.9994957
17,Seabirds,0.02155086,0.1684985,149.8561,0.6910254,0.001124402,0,0.1164367,0,0,0.05206175,1
18,Deep_demersals,1.005631,1.009326,3.184886,0.919084,0.316911,0.002686746,0.9249683,0,0,0.08167058,0.9973381
19,Pollock_L,4.917285,1.310025,2.690747,0.5651691,0.486863,0.03313699,0.7072484,0,0,0.5696393,0.9747051
20,Rockfish,1.06963,0.3048818,3.446236,0.7594063,0.08846805,0.01281662,0.2187125,0,0,0.07335265,0.957962
21,Baleen_whales,0.1484479,0.04895527,11.04414,0.08009741,0.004432692,0,0.003921191,0,0,0.04503408,1
22,Salmon_fry_S,0.8383604,2.2034,26.30843,0.1585753,0.08375263,0,0.3494048,0,0,1.853995,1
23,Nshore_demersal,4.176949,0.9935023,4.300876,0.799295,0.231,3.847071E-05,0.7940629,0,0,0.1994009,0.9999613
24,Squids,3.027193,3.01892,15.27948,0.9361817,0.19758,3.871723E-05,2.826219,0,0,0.1926624,0.9999872
25,Eulachon,1.132397,2.537155,17.76267,0.6484124,0.1428364,0.0001153777,1.645007,0,0,0.8920321,0.9999545
26,Sea_otters,0.0413063,0.1268312,117.2655,0.005589342,0.001081573,4.297747E-06,0.0007046052,0,0,0.1261223,0.9999661
27,Deep_epibenthos,30.83644,3.03502,9.959332,0.9226555,0.3047414,0.0001515999,2.800127,0,0,0.2347422,0.9999501
28,Capelin,0.451768,3.470045,17.88503,0.5511603,0.1940195,0.0001420882,1.912409,0,0,1.557494,0.9999591
29,Herring_L,3.078581,0.393026,3.384792,0.9297915,0.1161153,0.0003425966,0.3650896,0,0,0.02759376,0.9991283
30,Pollock_S,0.6111918,2.279717,7.503725,0.3956963,0.3038113,0,0.9020755,0,0,1.377641,1
31,Invert_eat_seaduck,0.0002753244,0.2046586,152.8817,0.7143998,0.001338673,0,0.1462081,0,0,0.05845055,1
32,Oystercatchers,0.0003086229,0.2984857,150.6089,0.9098057,0.00198186,0,0.271564,0,0,0.02692172,1
33,Sandlance,0.6059036,2.001572,17.47838,0.7269392,0.114517,0,1.455021,0,0,0.5465508,1
34,Sunflower_stars,0.3734539,1.97506,9.968762,0.9452962,0.1981249,0,1.867017,0,0,0.1080432,1
35,Pisaster_Evasterias,1.004765,1.929181,9.764194,0.6066679,0.1975771,0,1.170372,0,0,0.7588087,1
36,Leather_stars,1.006574,2.006793,10.2034,0.5341981,0.1966789,0,1.072025,0,0,0.9347681,1
37,Cucumbers,0.5233166,0.6051795,3.397292,0.7516273,0.1781358,1.435078E-07,0.4548693,0,0,0.1503101,0.9999998
38,Urchins,0.6038492,0.5993655,2.749812,0.749761,0.217966,3.212723E-07,0.4493806,0,0,0.1499846,0.9999995
39,Helmet_crab,0.8282604,1.981822,10.30677,0.8824275,0.1922835,0,1.748814,0,0,0.2330077,1
40,Herring_S,2.035938,1.458109,7.887812,0.7582232,0.1848559,0,1.105572,0,0,0.3525368,1
41,Jellies,6.227573,4.870818,30.07067,0.05959431,0.161979,0,0.290273,0,0,4.580545,1
42,Deep_infauna_S,48.86386,2.97288,23.20978,0.9495434,0.1280874,0,2.822878,0,0,0.1500015,1
43,Zoopl_near_onmiv,0.1073227,8.314969,26.6689,0.6543158,0.3117852,0,5.440616,0,0,2.874353,1
44,Zoop_omniv,25.56986,12.305,22.0729,0.7714713,0.557471,0,9.492953,0,0,2.812046,1
45,Shallow_infauna_S,52.73404,3.925196,22.92562,0.8776705,0.1712143,0,3.445028,0,0,0.4801674,1
46,Meiofauna,4.728392,4.459898,22.90833,0.9535844,0.1946845,0,4.252889,0,0,0.207009,1
47,Deep_infauna_L,27.54424,0.6081837,22.9702,0.9748577,0.02647707,0,0.5928925,0,0,0.01529114,1
48,Snail_crust_S,18.53024,2.36669,9.803926,0.9809341,0.2414023,8.711596E-07,2.321567,0,0,0.04512312,0.9999996
49,Mussels,8.59945,2.279598,10.06898,0.3834134,0.2263981,4.652763E-07,0.8740281,0,0,1.40557,0.9999998
50,Barnacles,8.592998,2.319048,10.05721,0.3319086,0.2305856,0,0.769712,0,0,1.549336,1
51,Shallow_infauna_clams,12.19027,0.6129413,22.50794,0.6119789,0.02723223,4.068215E-05,0.3750664,0,0,0.2378342,0.9999336
52,Zoopl_near_herb,2.332132,26.8315,89.80785,0.8209453,0.2987656,0,22.02719,0,0,4.804307,1
53,Zoopl_herb,29.05979,23.60469,50.11418,0.7180556,0.4710182,0,16.94948,0,0,6.65521,1
54,Phyto_near,5.480973,192.0056,0,0.9684315,-9999,0,185.9442,0,0,6.061322,1
55,Phyto_off,10.29245,194.5247,0,0.9475001,-9999,0,184.3122,0,0,10.21254,1
56,Fucus,25.429,3.919265,0,0.01889479,-9999,0,0.07405367,0,0,3.845211,1
57,Subtidal_kelps,24.62557,4.105689,0,0.1850739,-9999,0,0.7598559,0,0,3.345833,1
58,Macroalgae_other,24.76911,3.928071,0,0.277226,-9999,0,1.088963,0,0,2.839108,1
59,Eelgrass,25.26491,4.012133,0,0,-9999,0,0,0,0,4.012133,1
60,Nekton_falls,2,-9999,-9999,0.7053547,-9999,0,0,0,-1.25,-2946.158,1
61,Inshore_detritus,19.52,-9999,-9999,0.7085175,-9999,0,0,0,-0.2459016,-2914.534,1
62,Offshore_detritus,114.48,-9999,-9999,0.5871634,-9999,0,0,0,-0.04192872,-4127.953,1
