parameter,value
"Total consumption",6721.302
"Sum of all exports",1102.849
"Sum of all respiratory flows",2405.568
"Sum of all flows into detritus",3817.593
"Total system throughput",14047.31
"Sum of all production",5171.909
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006611631
"Calculated total net primary production",3453.943
"Total primary production/total respiration",1.435812
"Net system production",1048.374
"Total primary production/total biomass",8.048966
"Total biomass/total throughput",0.03054793
"Total biomass (excluding detritus)",429.1163
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001968
"Total market value",2.14144
"Total shadow value",0.07009427
"Total value",2.211534
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983829
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030822
