parameter,value
"Total consumption",6804.422
"Sum of all exports",1174.949
"Sum of all respiratory flows",2425.935
"Sum of all flows into detritus",3920.286
"Total system throughput",14325.59
"Sum of all production",5292.274
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006439948
"Calculated total net primary production",3546.021
"Total primary production/total respiration",1.461713
"Net system production",1120.086
"Total primary production/total biomass",8.261059
"Total biomass/total throughput",0.02996353
"Total biomass (excluding detritus)",429.2454
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003483
"Total market value",2.14144
"Total shadow value",0.06983901
"Total value",2.211279
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981276
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036486
