parameter,value
"Total consumption",6776.267
"Sum of all exports",1148.74
"Sum of all respiratory flows",2427.489
"Sum of all flows into detritus",3853.858
"Total system throughput",14206.35
"Sum of all production",5249.865
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006485044
"Calculated total net primary production",3521.363
"Total primary production/total respiration",1.45062
"Net system production",1093.875
"Total primary production/total biomass",8.192739
"Total biomass/total throughput",0.03025513
"Total biomass (excluding detritus)",429.8151
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200366
"Total market value",2.14144
"Total shadow value",0.07238875
"Total value",2.213829
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006772
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033452
