parameter,value
"Total consumption",6784.043
"Sum of all exports",1125.806
"Sum of all respiratory flows",2420.377
"Sum of all flows into detritus",3865.385
"Total system throughput",14195.61
"Sum of all production",5231.924
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006541827
"Calculated total net primary production",3490.797
"Total primary production/total respiration",1.442253
"Net system production",1070.42
"Total primary production/total biomass",8.086422
"Total biomass/total throughput",0.03040984
"Total biomass (excluding detritus)",431.6862
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002113
"Total market value",2.14144
"Total shadow value",0.07138904
"Total value",2.212829
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996775
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028363
