parameter,value
"Total consumption",6730.758
"Sum of all exports",1106.832
"Sum of all respiratory flows",2398.412
"Sum of all flows into detritus",3855.096
"Total system throughput",14091.1
"Sum of all production",5180.543
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006618176
"Calculated total net primary production",3450.527
"Total primary production/total respiration",1.438672
"Net system production",1052.115
"Total primary production/total biomass",8.014471
"Total biomass/total throughput",0.03055383
"Total biomass (excluding detritus)",430.537
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004614
"Total market value",2.14144
"Total shadow value",0.07036682
"Total value",2.211807
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986554
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033242
