parameter,value
"Total consumption",6764.861
"Sum of all exports",1158.847
"Sum of all respiratory flows",2440.293
"Sum of all flows into detritus",3896.911
"Total system throughput",14260.91
"Sum of all production",5252.57
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006442414
"Calculated total net primary production",3544.664
"Total primary production/total respiration",1.452557
"Net system production",1104.372
"Total primary production/total biomass",8.26543
"Total biomass/total throughput",0.030072
"Total biomass (excluding detritus)",428.8542
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004607
"Total market value",2.14144
"Total shadow value",0.06827387
"Total value",2.209714
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4965624
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029955
