parameter,value
"Total consumption",6825.702
"Sum of all exports",1170.635
"Sum of all respiratory flows",2446.912
"Sum of all flows into detritus",3942.268
"Total system throughput",14385.52
"Sum of all production",5301.456
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006408716
"Calculated total net primary production",3563.303
"Total primary production/total respiration",1.456245
"Net system production",1116.391
"Total primary production/total biomass",8.263336
"Total biomass/total throughput",0.02997587
"Total biomass (excluding detritus)",431.2184
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1997163
"Total market value",2.14144
"Total shadow value",0.07337981
"Total value",2.21482
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016683
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030712
