parameter,value
"Total consumption",6727.695
"Sum of all exports",1214.343
"Sum of all respiratory flows",2387.868
"Sum of all flows into detritus",3953.796
"Total system throughput",14283.7
"Sum of all production",5287.323
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006435398
"Calculated total net primary production",3548.529
"Total primary production/total respiration",1.486066
"Net system production",1160.66
"Total primary production/total biomass",8.273329
"Total biomass/total throughput",0.03002806
"Total biomass (excluding detritus)",428.9119
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200364
"Total market value",2.14144
"Total shadow value",0.06839822
"Total value",2.209838
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4966868
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039339
