parameter,value
"Total consumption",6813.333
"Sum of all exports",1138.554
"Sum of all respiratory flows",2445.06
"Sum of all flows into detritus",3893.616
"Total system throughput",14290.56
"Sum of all production",5262.664
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006470757
"Calculated total net primary production",3529.138
"Total primary production/total respiration",1.443375
"Net system production",1084.078
"Total primary production/total biomass",8.20885
"Total biomass/total throughput",0.0300841
"Total biomass (excluding detritus)",429.9187
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200151
"Total market value",2.14144
"Total shadow value",0.07349405
"Total value",2.214934
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5017825
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036622
