parameter,value
"Total consumption",6821.805
"Sum of all exports",1080.155
"Sum of all respiratory flows",2452.323
"Sum of all flows into detritus",3866.048
"Total system throughput",14220.33
"Sum of all production",5210.361
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006565567
"Calculated total net primary production",3478.175
"Total primary production/total respiration",1.418318
"Net system production",1025.852
"Total primary production/total biomass",8.078557
"Total biomass/total throughput",0.03027666
"Total biomass (excluding detritus)",430.5441
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000923
"Total market value",2.14144
"Total shadow value",0.07036965
"Total value",2.21181
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986583
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03124
