parameter,value
"Total consumption",6775.731
"Sum of all exports",1045.524
"Sum of all respiratory flows",2435.323
"Sum of all flows into detritus",3781.402
"Total system throughput",14037.98
"Sum of all production",5147.477
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006665671
"Calculated total net primary production",3425.941
"Total primary production/total respiration",1.40677
"Net system production",990.6174
"Total primary production/total biomass",7.95136
"Total biomass/total throughput",0.03069261
"Total biomass (excluding detritus)",430.8622
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003106
"Total market value",2.14144
"Total shadow value",0.07210669
"Total value",2.213547
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003952
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035628
