parameter,value
"Total consumption",6676.488
"Sum of all exports",1109.646
"Sum of all respiratory flows",2383.009
"Sum of all flows into detritus",3832.862
"Total system throughput",14002
"Sum of all production",5149.99
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006644279
"Calculated total net primary production",3436.971
"Total primary production/total respiration",1.442282
"Net system production",1053.962
"Total primary production/total biomass",8.086173
"Total biomass/total throughput",0.03035586
"Total biomass (excluding detritus)",425.0429
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004534
"Total market value",2.14144
"Total shadow value",0.06732723
"Total value",2.208767
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4956158
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034741
