parameter,value
"Total consumption",6703.381
"Sum of all exports",1102.879
"Sum of all respiratory flows",2387.793
"Sum of all flows into detritus",3777.346
"Total system throughput",13971.4
"Sum of all production",5158.241
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006649095
"Calculated total net primary production",3434.481
"Total primary production/total respiration",1.438349
"Net system production",1046.688
"Total primary production/total biomass",8.011057
"Total biomass/total throughput",0.03068537
"Total biomass (excluding detritus)",428.7176
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000256
"Total market value",2.14144
"Total shadow value",0.07250117
"Total value",2.213941
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007898
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032404
