parameter,value
"Total consumption",6727.311
"Sum of all exports",1136.607
"Sum of all respiratory flows",2408.802
"Sum of all flows into detritus",3854.259
"Total system throughput",14126.98
"Sum of all production",5208.238
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006541928
"Calculated total net primary production",3490.744
"Total primary production/total respiration",1.449162
"Net system production",1081.942
"Total primary production/total biomass",8.135413
"Total biomass/total throughput",0.03037309
"Total biomass (excluding detritus)",429.0801
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004321
"Total market value",2.14144
"Total shadow value",0.07114401
"Total value",2.212584
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994327
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037647
