parameter,value
"Total consumption",6717.401
"Sum of all exports",1214.593
"Sum of all respiratory flows",2379.821
"Sum of all flows into detritus",3900.359
"Total system throughput",14212.17
"Sum of all production",5279.255
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006454456
"Calculated total net primary production",3538.051
"Total primary production/total respiration",1.486688
"Net system production",1158.23
"Total primary production/total biomass",8.238965
"Total biomass/total throughput",0.03021558
"Total biomass (excluding detritus)",429.429
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005068
"Total market value",2.14144
"Total shadow value",0.07166044
"Total value",2.2131
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4999491
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03642
