parameter,value
"Total consumption",6750.077
"Sum of all exports",1167.83
"Sum of all respiratory flows",2412.898
"Sum of all flows into detritus",3902.443
"Total system throughput",14233.25
"Sum of all production",5253.243
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006477087
"Calculated total net primary production",3525.689
"Total primary production/total respiration",1.461185
"Net system production",1112.791
"Total primary production/total biomass",8.190998
"Total biomass/total throughput",0.03024149
"Total biomass (excluding detritus)",430.4346
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003631
"Total market value",2.14144
"Total shadow value",0.07180589
"Total value",2.213246
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000945
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031315
