parameter,value
"Total consumption",6770.093
"Sum of all exports",1099.851
"Sum of all respiratory flows",2438.375
"Sum of all flows into detritus",3821.392
"Total system throughput",14129.71
"Sum of all production",5198.678
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006556146
"Calculated total net primary production",3483.174
"Total primary production/total respiration",1.428481
"Net system production",1044.798
"Total primary production/total biomass",8.082545
"Total biomass/total throughput",0.03049957
"Total biomass (excluding detritus)",430.9501
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002246
"Total market value",2.14144
"Total shadow value",0.07356098
"Total value",2.215001
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018495
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035768
