parameter,value
"Total consumption",6931.185
"Sum of all exports",1146.674
"Sum of all respiratory flows",2487.58
"Sum of all flows into detritus",3927.43
"Total system throughput",14492.87
"Sum of all production",5341.96
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006380021
"Calculated total net primary production",3579.329
"Total primary production/total respiration",1.43888
"Net system production",1091.749
"Total primary production/total biomass",8.251731
"Total biomass/total throughput",0.02992969
"Total biomass (excluding detritus)",433.7671
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000122
"Total market value",2.14144
"Total shadow value",0.07339065
"Total value",2.214831
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016793
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031943
