parameter,value
"Total consumption",6847.834
"Sum of all exports",1182.882
"Sum of all respiratory flows",2460.742
"Sum of all flows into detritus",3948.825
"Total system throughput",14440.28
"Sum of all production",5329.291
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006358855
"Calculated total net primary production",3591.243
"Total primary production/total respiration",1.459415
"Net system production",1130.501
"Total primary production/total biomass",8.297169
"Total biomass/total throughput",0.02997362
"Total biomass (excluding detritus)",432.8275
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999453
"Total market value",2.14144
"Total shadow value",0.0730403
"Total value",2.21448
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5013288
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030751
