parameter,value
"Total consumption",6819.198
"Sum of all exports",1201.218
"Sum of all respiratory flows",2446.494
"Sum of all flows into detritus",3936.333
"Total system throughput",14403.24
"Sum of all production",5327.723
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006358295
"Calculated total net primary production",3591.559
"Total primary production/total respiration",1.468043
"Net system production",1145.065
"Total primary production/total biomass",8.340587
"Total biomass/total throughput",0.0298969
"Total biomass (excluding detritus)",430.6123
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002123
"Total market value",2.14144
"Total shadow value",0.07569946
"Total value",2.217139
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5039881
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039814
