parameter,value
"Total consumption",6748.838
"Sum of all exports",1138.885
"Sum of all respiratory flows",2441.962
"Sum of all flows into detritus",3902.303
"Total system throughput",14231.99
"Sum of all production",5223.019
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006476977
"Calculated total net primary production",3525.749
"Total primary production/total respiration",1.443818
"Net system production",1083.787
"Total primary production/total biomass",8.197608
"Total biomass/total throughput",0.03022029
"Total biomass (excluding detritus)",430.0948
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200366
"Total market value",2.14144
"Total shadow value",0.07391942
"Total value",2.215359
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5022081
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030109
