parameter,value
"Total consumption",6741.752
"Sum of all exports",1153.086
"Sum of all respiratory flows",2384.476
"Sum of all flows into detritus",3879.862
"Total system throughput",14159.18
"Sum of all production",5233.371
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006555813
"Calculated total net primary production",3483.35
"Total primary production/total respiration",1.460845
"Net system production",1098.874
"Total primary production/total biomass",8.108966
"Total biomass/total throughput",0.03033847
"Total biomass (excluding detritus)",429.5677
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998844
"Total market value",2.14144
"Total shadow value",0.07431905
"Total value",2.215759
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026077
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039199
