parameter,value
"Total consumption",6725.526
"Sum of all exports",1042.465
"Sum of all respiratory flows",2401.955
"Sum of all flows into detritus",3793.384
"Total system throughput",13963.33
"Sum of all production",5114.383
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006734068
"Calculated total net primary production",3391.144
"Total primary production/total respiration",1.411827
"Net system production",989.1895
"Total primary production/total biomass",7.935781
"Total biomass/total throughput",0.03060325
"Total biomass (excluding detritus)",427.3233
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003156
"Total market value",2.14144
"Total shadow value",0.07245968
"Total value",2.2139
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007483
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033505
