parameter,value
"Total consumption",6716.359
"Sum of all exports",1024.734
"Sum of all respiratory flows",2389.266
"Sum of all flows into detritus",3792.001
"Total system throughput",13922.36
"Sum of all production",5089.846
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006797074
"Calculated total net primary production",3359.709
"Total primary production/total respiration",1.406168
"Net system production",970.4434
"Total primary production/total biomass",7.828401
"Total biomass/total throughput",0.0308259
"Total biomass (excluding detritus)",429.1693
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200557
"Total market value",2.14144
"Total shadow value",0.07112958
"Total value",2.212569
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994181
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028716
