parameter,value
"Total consumption",6725.207
"Sum of all exports",1213.839
"Sum of all respiratory flows",2386.09
"Sum of all flows into detritus",3979.518
"Total system throughput",14304.65
"Sum of all production",5284.275
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006442194
"Calculated total net primary production",3544.785
"Total primary production/total respiration",1.485604
"Net system production",1158.695
"Total primary production/total biomass",8.224349
"Total biomass/total throughput",0.03013083
"Total biomass (excluding detritus)",431.011
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999978
"Total market value",2.14144
"Total shadow value",0.07188536
"Total value",2.213325
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5001739
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035649
