parameter,value
"Total consumption",6725.448
"Sum of all exports",1209.827
"Sum of all respiratory flows",2405.45
"Sum of all flows into detritus",3913.798
"Total system throughput",14254.52
"Sum of all production",5281.311
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006414067
"Calculated total net primary production",3560.33
"Total primary production/total respiration",1.48011
"Net system production",1154.88
"Total primary production/total biomass",8.262864
"Total biomass/total throughput",0.03022782
"Total biomass (excluding detritus)",430.8832
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000323
"Total market value",2.14144
"Total shadow value",0.07536627
"Total value",2.216806
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5036548
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036947
