parameter,value
"Total consumption",6918.327
"Sum of all exports",1188.283
"Sum of all respiratory flows",2508.063
"Sum of all flows into detritus",3966.285
"Total system throughput",14580.96
"Sum of all production",5375.101
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006270839
"Calculated total net primary production",3641.649
"Total primary production/total respiration",1.451977
"Net system production",1133.586
"Total primary production/total biomass",8.482155
"Total biomass/total throughput",0.02944461
"Total biomass (excluding detritus)",429.3307
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003543
"Total market value",2.14144
"Total shadow value",0.06861655
"Total value",2.210057
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4969052
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03283
