parameter,value
"Total consumption",6646.959
"Sum of all exports",1200.019
"Sum of all respiratory flows",2356.006
"Sum of all flows into detritus",3866.289
"Total system throughput",14069.27
"Sum of all production",5223.934
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006524018
"Calculated total net primary production",3500.326
"Total primary production/total respiration",1.485703
"Net system production",1144.32
"Total primary production/total biomass",8.220619
"Total biomass/total throughput",0.03026442
"Total biomass (excluding detritus)",425.7984
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000592
"Total market value",2.14144
"Total shadow value",0.06756197
"Total value",2.209002
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4958504
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039552
