parameter,value
"Total consumption",6726.234
"Sum of all exports",1166.511
"Sum of all respiratory flows",2391.307
"Sum of all flows into detritus",3879.546
"Total system throughput",14163.6
"Sum of all production",5237.73
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006520069
"Calculated total net primary production",3502.447
"Total primary production/total respiration",1.464658
"Net system production",1111.14
"Total primary production/total biomass",8.116877
"Total biomass/total throughput",0.03046555
"Total biomass (excluding detritus)",431.5018
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001612
"Total market value",2.14144
"Total shadow value",0.07419078
"Total value",2.215631
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5024794
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034249
