parameter,value
"Total consumption",6751.731
"Sum of all exports",1120.165
"Sum of all respiratory flows",2400.048
"Sum of all flows into detritus",3835.074
"Total system throughput",14107.02
"Sum of all production",5206.639
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006590022
"Calculated total net primary production",3465.268
"Total primary production/total respiration",1.443833
"Net system production",1065.22
"Total primary production/total biomass",8.067801
"Total biomass/total throughput",0.03044713
"Total biomass (excluding detritus)",429.5183
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001642
"Total market value",2.14144
"Total shadow value",0.06897137
"Total value",2.210411
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.49726
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026725
