parameter,value
"Total consumption",6808.776
"Sum of all exports",1109.739
"Sum of all respiratory flows",2444.293
"Sum of all flows into detritus",3878.785
"Total system throughput",14241.59
"Sum of all production",5229.286
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006527735
"Calculated total net primary production",3498.333
"Total primary production/total respiration",1.431225
"Net system production",1054.04
"Total primary production/total biomass",8.088682
"Total biomass/total throughput",0.03036861
"Total biomass (excluding detritus)",432.4973
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002349
"Total market value",2.14144
"Total shadow value",0.06921516
"Total value",2.210655
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4975036
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027944
